ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum,
ISic000056,ISic000056,yes,no,yes,,stone.marble,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,yes,,ISic000056,,1,100,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000057,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000057,,1,300,Thermae Himeraeae,Termini Imerese,limestone,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000058,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000058,,51,250,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000059,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000059,,1,300,Thermae Himeraeae,Termini Imerese,limestone,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000060,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000060,,101,200,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000061,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000061,,201,300,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000062,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000062,,201,400,Thermae Himeraeae,Termini Imerese,limestone,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000063,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000063,,102,103,Tyndaris,Tindari,marble,honorificpossibly building,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000064,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000064,,139,146,Tyndaris,Tindari,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000065,ISic000065,yes,yes,no,no,stone.marble,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy","pXRF, digital microscopy, XRD, optical microscopy",,pXRF,digital microscopy,XRD,optical microscopy,,,,yes,yes,,ISic000065,yes,160-12-10,161-12-09,Tyndaris,Tindari,marble,honorific,chiselled red,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000066,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000066,,161,161,Tyndaris,Tindari,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000067,ISic000067,yes,no,yes,,stone.marble,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,,,ISic000067,,201,250,Tyndaris,Tindari,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000068,ISic000068,yes,yes,yes,yes,stone.marble,TRUE,,,"identification based on digital microscopy, XRD, optical microscopy, stable isotopes analysis","digital microscopy, XRD, optical microscopy, stable isotopes analysis",,,digital microscopy,XRD,optical microscopy,stable isotopes analysis,,,yes,yes,,ISic000068,,201,250,Tyndaris,Tindari,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000069,ISic000069,yes,yes,no,no,stone.marble,TRUE,,,"identification based on XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS","XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS",,,,XRD,optical microscopy,stable isotopes analysis,EPR,LA-ICP-MS,yes,yes,,ISic000069,yes,251,300,Tyndaris,Tindari,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000070,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000070,,101,300,Tyndaris,Tindari,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000071,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000071,,,,Tyndaris,Tindari,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000072,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000072,,-300,-101,Eryx,Erice,marble,dedication,chiselled,Punic,unknown,
ISic000073,,no,no,,,stone.calcarenite,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000073,,-500,-401,Motya,Mozia,limestone,funerary,chiselled,Punic,Museo Whitaker,
ISic000074,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000074,,-400,-101,Lilybaeum,Marsala,limestone,dedication,chiselled,Punic,Museo Whitaker,
